hospital_id,hospital_name,street,city,governorate,region,hospital_type,contact_number,hospital_capacity,current_occupancy,emergency_services,ICU_capacity,ambulance_count,services,departments
84f84087-902c-47b0-930b-78a2336ee56b,Cairo General Hospital,Tahrir Square,Cairo,Cairo,Urban,private,+209006001988,302,2,True,43,9,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Cardiology', 'Psychiatry']"
0f3a5e1d-02c0-472d-8fc7-1af75bab1e59,Kasr Al-Ainy Hospital,Kasr Al-Ainy Street,Cairo,Cairo,Urban,public,+209235023995,466,43,True,22,7,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Urology']"
1ba5b205-fe89-4163-9ae4-c0d2e0262246,El-Demerdash Hospital,Abbasia Street,Cairo,Cairo,Urban,private,+209131381582,425,17,True,38,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Urology', 'Ophthalmology']"
ab8d0f48-c710-4a30-8846-180bc63321e3,Ain Shams University Hospital,Ramses Street,Cairo,Cairo,Urban,university,+204380307139,80,6,True,38,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Cardiology', 'Psychiatry', 'Orthopedics', 'Physical Therapy']"
888a951d-2937-4167-a923-857cb5b90c87,Helwan General Hospital,Helwan Road,Helwan,Cairo,Urban,private,+206420269031,97,49,True,13,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Psychiatry', 'ENT', 'Urology']"
10e02a7a-0907-4686-9205-ab89a961f8d0,Giza Central Hospital,Corniche Road,Giza,Giza,Upper Egypt,private,+201683056509,351,1,True,10,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Psychiatry']"
21edb0f8-bf19-4035-97ee-fa53f2ab714e,Imbaba General Hospital,Imbaba Street,Imbaba,Giza,Upper Egypt,private,+201562973379,96,24,True,39,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Psychiatry', 'Dermatology', 'Ophthalmology']"
31e6229d-419a-4a9a-8894-be6b88722137,Warraq Central Hospital,Warraq Main Road,Warraq,Giza,Upper Egypt,private,+201745514728,403,43,True,32,4,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Orthopedics', 'Neurology', 'Psychiatry']"
9015d1e2-e22b-4357-923e-f720eb4905bd,Alexandria Medical Center,Corniche Road,Alexandria,Alexandria,Lower Egypt,public,+205107999463,442,39,True,25,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Dermatology']"
ece48f1e-e75b-40fb-8f82-9690982f03bc,Alexandria International Medical Center,Zamalek Street,Alexandria,Alexandria,Lower Egypt,private,+206185923946,63,37,True,48,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Psychiatry']"
ff18c70a-c35a-4624-92a8-860c24cd9e77,Sidi Gaber Medical Center,Sidi Gaber Street,Sidi Gaber,Alexandria,Lower Egypt,public,+204580387538,319,0,False,21,0,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Psychiatry', 'Ophthalmology', 'Oncology']"
71151d92-47a3-412a-a986-1da9a16ecc61,Sharqia Specialized Hospital,El-Galaa Street,Zagazig,Sharqia,Lower Egypt,private,+205595513070,460,4,False,7,8,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Oncology']"
af4902d1-ddf7-4155-9337-d78d53859245,Zagazig University Medical Center,University Street,Zagazig,Sharqia,Lower Egypt,university,+204927769203,216,37,True,46,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Orthopedics']"
4572977e-97d6-4923-9988-5d997e90a929,Abu Kabir General Hospital,Abu Kabir Main Road,Abu Kabir,Sharqia,Lower Egypt,public,+207868302092,382,40,False,46,0,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', 'Cardiac Care', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Psychiatry', 'Oncology', 'Dermatology', 'Cardiology']"
5d305618-468a-43af-bb61-eff5d2f1c6da,Mansoura University Hospital,El-Maadi Road,Mansoura,Dakahlia,Lower Egypt,university,+208326390093,459,10,True,6,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Oncology']"
3e5bfbdf-5a05-4ed9-9d76-4078a284a008,Dakahlia Specialized Medical Center,Tahrir Street,Mansoura,Dakahlia,Lower Egypt,private,+205881112235,158,0,True,39,8,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Psychiatry', 'ENT', 'Oncology']"
61a71918-6a60-4efe-86e3-a7a542ad2e9d,Nile Delta Regional Hospital,Talkha Main Street,Talkha,Dakahlia,Lower Egypt,private,+203902035976,306,7,True,7,4,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Oncology', 'Dermatology', 'Urology']"
833e6694-77d6-4bc9-a022-719351b0287c,Tanta University Hospital,Ramses Street,Tanta,Gharbia,Lower Egypt,university,+205559776891,417,17,True,47,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', 'Cardiac Care', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Dermatology', 'Orthopedics', 'Psychiatry', 'Cardiology']"
5638b027-3f3d-408f-8dba-1e77658fbbe6,Gharbia Medical Center,Corniche Road,El Mahalla El-Kubra,Gharbia,Lower Egypt,private,+208627023128,450,37,False,46,4,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Cardiology']"
e25d16cb-264f-4f5c-8a83-1d9c06c65c61,Mahalla El-Kubra General Hospital,El-Mokattam Street,El Mahalla El-Kubra,Gharbia,Lower Egypt,private,+201916879753,316,49,False,35,10,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Cardiology']"
b7429e7f-821a-4219-ac5d-fd30ab72385c,Qalyubia General Hospital,Abbasia Street,Banha,Qalyubia,Lower Egypt,private,+201267154736,374,42,True,5,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology']"
2d1be104-a330-4efc-81b7-ff5ce2e9c77d,Shubra El-Kheima Hospital,Shubra Street,Shubra El-Kheima,Qalyubia,Lower Egypt,public,+205028491022,474,9,False,15,2,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Orthopedics']"
ea7db58d-77fd-414e-ab89-d66d35906f36,Obour General Hospital,Obour Main Road,Obour City,Qalyubia,Lower Egypt,private,+206564519399,160,38,False,45,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'ENT']"
cedd155a-55f2-4ba0-a656-d5fecd312ef5,Beheira Teaching Hospital,Dokki Road,Damanhour,Beheira,Lower Egypt,public,+204786198306,335,31,False,29,9,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Orthopedics']"
34c4ef57-34a3-43a3-b201-3650b70efdd9,Damanhour Central Hospital,Tahrir Square,Damanhour,Beheira,Lower Egypt,public,+202344162729,196,23,True,10,7,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Ophthalmology', 'Physical Therapy', 'Cardiology']"
e86a3215-5b67-4f5f-b501-506e50c69014,Kafr El-Dawar General Hospital,Corniche Road,Kafr El-Dawar,Beheira,Lower Egypt,public,+202437764936,109,20,False,17,10,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Orthopedics', 'Neurology', 'Psychiatry']"
864b2387-91f6-4f6b-94a9-e02da7ea2fc8,Kafr El-Sheikh General Hospital,El-Maadi Road,Kafr El-Sheikh,Kafr El-Sheikh,Lower Egypt,public,+201246754164,135,8,True,18,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'Urology']"
6aa7118c-d085-4ad0-aa92-149baa7cf20b,Desouk General Hospital,Shubra Street,Desouk,Kafr El-Sheikh,Lower Egypt,private,+205042325458,332,38,True,19,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'ENT']"
14cac651-e603-4376-a023-6beda034e642,Fowa Central Hospital,Dokki Road,Fowa,Kafr El-Sheikh,Lower Egypt,private,+201330034176,50,15,False,39,3,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Dermatology']"
b1de1c1e-1720-4e86-983a-b0dda2e8a758,Shebin El-Kom General Hospital,Ramses Street,Shebin El-Kom,Monufia,Lower Egypt,private,+204300342516,165,2,True,47,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology', 'Urology']"
2469db9c-2235-423f-a948-0fca3e02d86a,Menouf General Hospital,El-Mokattam Street,Menouf,Monufia,Lower Egypt,public,+208800284750,154,29,True,26,8,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'ENT', 'Ophthalmology']"
09b0ee85-b6cc-4244-990f-ecad32e25d21,Ashmoun Central Hospital,Corniche Road,Ashmoun,Monufia,Lower Egypt,private,+206945256021,493,46,False,10,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy']"
83c8e30c-00f3-4db4-8ae4-1106b175d1a4,Fayoum General Hospital,Tahrir Square,Fayoum,Fayoum,Upper Egypt,public,+202648586395,232,26,True,18,9,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Neurology', 'ENT', 'Dermatology', 'Urology']"
315bcadf-e407-4230-83f4-60cc65c48f94,Tamiya Central Hospital,Dokki Road,Tamiya,Fayoum,Upper Egypt,public,+207393770011,143,37,False,49,7,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Orthopedics']"
d4253543-e268-4ea6-8213-6cf491c6c62b,Etsa General Hospital,Ramses Street,Etsa,Fayoum,Upper Egypt,private,+208741245999,483,32,False,33,3,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'ENT', 'Dermatology', 'Orthopedics', 'Physical Therapy']"
c83a8885-a137-4230-bcef-3bb8927c07a2,Beni Suef University Hospital,El-Galaa Street,Beni Suef,Beni Suef,Upper Egypt,university,+201376851047,373,13,True,48,4,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy']"
98ec5dea-b9df-4679-8076-f1adfce62ec4,Beni Suef General Hospital,Kasr Al-Ainy Street,Beni Suef,Beni Suef,Upper Egypt,public,+206989777148,365,12,False,8,5,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'ENT', 'Psychiatry', 'Dermatology', 'Oncology']"
f396a7ce-a879-4387-96bd-85b960e7b839,Wasta Central Hospital,Tahrir Square,Wasta,Beni Suef,Upper Egypt,public,+201419322681,98,5,False,49,3,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Mental Health Services', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Psychiatry']"
bbabdc87-24e8-4bd9-9c75-9fcd8fe5ad77,Minya University Hospital,Ramses Street,Minya,Minya,Upper Egypt,university,+206399539601,379,17,False,49,0,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Chemotherapy', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Orthopedics', 'Urology', 'Oncology', 'Dermatology']"
99a00b44-af69-4ed7-b6fc-6d621cec54a6,Beni Mazar General Hospital,Dokki Road,Beni Mazar,Minya,Upper Egypt,private,+201854111231,144,3,False,49,9,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Dermatology', 'Ophthalmology']"
e38fc98a-ba7e-4473-b438-1b69e021d19f,Mallawi Central Hospital,El-Maadi Road,Mallawi,Minya,Upper Egypt,public,+203695038042,386,46,False,17,1,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Physical Therapy', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Physical Therapy', 'Urology']"
8ed73153-d6a7-4c64-a8fa-71c93383639f,Minya Cardiac Institute,Kasr Al-Ainy Street,Minya,Minya,Upper Egypt,private,+207384497365,270,32,False,50,6,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Ophthalmology']"
d239e2c9-fcf3-4f44-ab29-b638d45a5388,Assiut University Hospital,Ramses Street,Assiut,Assiut,Upper Egypt,university,+205160253748,251,42,False,8,6,"['ICU', 'Surgery', 'Outpatient Clinic', 'Pediatric Care', 'Radiology Imaging', 'Cardiac Care', '24/7 Emergency', 'Maternity', 'Laboratory Testing', 'Inpatient Care', 'Vaccination']","['Emergency', 'Internal Medicine', 'General Surgery', 'Pediatrics', 'Gynecology & Obstetrics', 'Radiology', 'Laboratory', 'Cardiology']"
