medicine_id,diagnosis_id,name,compound,uses,side_effects,department
33937d55-a37e-4545-a0ee-e40ba64cdaae,7acc4863-731b-4294-a26a-f21a37ddac9b,Amlodipine,Amlodipine besylate,Lower blood pressure,"Swelling, dizziness, fatigue",Cardiology
ac1c5d09-23e6-44b4-8543-126e597b41d9,7acc4863-731b-4294-a26a-f21a37ddac9b,Lisinopril,Lisinopril,Treat high blood pressure and heart failure,"Cough, headache, dizziness",Cardiology
b3f87641-d3a6-4891-9aea-413fa8275775,7acc4863-731b-4294-a26a-f21a37ddac9b,Hydrochlorothiazide,Hydrochlorothiazide,Diuretic to reduce blood pressure,"Electrolyte imbalance, dehydration",Cardiology
d393b0f8-fead-4200-ad54-97c4c627b4ef,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Aspirin,Acetylsalicylic Acid,Prevent blood clot formation,"Stomach upset, bleeding",Cardiology
d4f0a94b-2dc5-4f58-a578-2158c90e7c47,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Clopidogrel,Clopidogrel bisulfate,Prevent clotting,"Bruising, bleeding",Cardiology
073eb937-22fb-496d-9533-9213090f89e2,c95af9ca-69a1-4d11-a5a6-0fb63d77e49a,Nitroglycerin,Nitroglycerin,Relieve chest pain,"Headache, low blood pressure",Cardiology
6188aa26-a786-4a86-a16b-e06553920c5a,220e2300-68fc-4c02-9ab9-885d12574c61,Amiodarone,Amiodarone hydrochloride,Control abnormal heart rhythms,"Liver toxicity, thyroid issues",Cardiology
79d269fe-276f-431f-ac5a-6b813812d8d0,220e2300-68fc-4c02-9ab9-885d12574c61,Metoprolol,Metoprolol tartrate,Beta-blocker to regulate heart rate,"Fatigue, dizziness",Cardiology
295d8269-65a7-4252-9be6-b304b50dcfe5,220e2300-68fc-4c02-9ab9-885d12574c61,Flecainide,Flecainide acetate,Treat serious arrhythmias,"Dizziness, blurred vision",Cardiology
c121b290-09de-430c-b6c3-fafadd11a05a,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Furosemide,Furosemide,Diuretic to reduce fluid overload,"Electrolyte imbalance, dehydration",Cardiology
6a2829c9-3b33-4f3a-a3d1-5f4d5272218e,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Carvedilol,Carvedilol,Beta-blocker for heart function,"Fatigue, low blood pressure",Cardiology
e7109eda-9675-41ab-b2cc-468dd6fb340b,f931c23f-57b3-48ff-98f7-f19aeb5a454f,Spironolactone,Spironolactone,Diuretic and potassium-sparing,"Hyperkalemia, dizziness",Cardiology
2007c0c6-6514-4352-9228-cb3c75bf5882,04267b0e-4070-4e59-b95f-732b5106d981,Warfarin,Warfarin sodium,Prevent blood clots,"Bleeding, bruising",Cardiology
76a58aa9-eff5-4a6a-a865-9b3a9fff774e,04267b0e-4070-4e59-b95f-732b5106d981,Dabigatran,Dabigatran etexilate,Anticoagulant to prevent stroke,Bleeding,Cardiology
37b3410a-c189-421b-b497-01e1dda19bc9,04267b0e-4070-4e59-b95f-732b5106d981,Metoprolol,Metoprolol tartrate,Control heart rate,"Fatigue, dizziness",Cardiology
8ec445bc-011b-43e4-9de7-3ca6ecdc7c3a,d66099f9-fb7f-4d1f-bb4d-07b7b7d22766,Ibuprofen,Ibuprofen,Reduce inflammation and pain,"Stomach upset, bleeding",Cardiology
389dd4a5-a0c6-4786-98be-1202c0995fd3,d66099f9-fb7f-4d1f-bb4d-07b7b7d22766,Colchicine,Colchicine,Prevent recurrent pericarditis,"Diarrhea, nausea",Cardiology
d3080d1b-33bc-401c-9442-cfb15ef3ad94,d66099f9-fb7f-4d1f-bb4d-07b7b7d22766,Prednisone,Prednisone,Reduce severe inflammation,"Weight gain, high blood sugar",Cardiology
e10a0984-858d-439a-9b4a-8a010e255356,a3e2b1c2-65e6-4058-a34a-6d77e2ec1635,Beta-blockers,Metoprolol,Improve heart function,"Fatigue, dizziness",Cardiology
3160cd8e-1e55-4ddb-bc18-b80f3d8ea41b,a3e2b1c2-65e6-4058-a34a-6d77e2ec1635,ACE inhibitors,Lisinopril,Lower blood pressure and reduce strain on heart,"Cough, low blood pressure",Cardiology
b55f73d5-5d32-4df6-b3f3-544ac05fec48,a3e2b1c2-65e6-4058-a34a-6d77e2ec1635,Diuretics,Furosemide,Reduce fluid overload,"Electrolyte imbalance, dehydration",Cardiology
4045ba70-75e2-471f-83ad-53909d76beb7,113a8411-29fc-44ba-9546-76c0eb0baf43,Nitroglycerin,Nitroglycerin,Relieve chest pain,"Headache, low blood pressure",Cardiology
254ac8aa-c091-4a50-9855-f78618068c12,113a8411-29fc-44ba-9546-76c0eb0baf43,Aspirin,Acetylsalicylic Acid,Prevent blood clot formation,"Stomach upset, bleeding",Cardiology
ad10d49d-58e3-4042-99ce-f765e21d6f05,113a8411-29fc-44ba-9546-76c0eb0baf43,Beta-blockers,Metoprolol,Reduce heart workload,"Fatigue, dizziness",Cardiology
32c8f394-17db-41ed-b91e-a4dab0ca65db,e0c08b97-96bd-46f9-8c5b-8e562407054d,Penicillin,Penicillin G,Treat bacterial infection,"Allergic reactions, nausea",Cardiology
a7d645c3-3984-4036-a993-51098eee3320,e0c08b97-96bd-46f9-8c5b-8e562407054d,Vancomycin,Vancomycin,Antibiotic for resistant bacteria,"Kidney issues, rash",Cardiology
c79e5272-8f8e-420f-a9bf-ed02f8cc4514,e0c08b97-96bd-46f9-8c5b-8e562407054d,Gentamicin,Gentamicin,Treat bacterial infections,"Kidney toxicity, hearing loss",Cardiology
cd82fa7f-f8bc-40ec-befd-d29846899546,0125cd13-76a6-485f-b100-ede08390c27b,Epinephrine,Epinephrine,Stimulate heart during arrest,"Increased heart rate, high blood pressure",Emergency
27ec7f6c-b922-4165-8e17-16b51f180374,0125cd13-76a6-485f-b100-ede08390c27b,Amiodarone,Amiodarone hydrochloride,Stabilize abnormal heart rhythms,"Liver toxicity, thyroid issues",Emergency
43ece4e9-c716-4b63-85f5-25f5ca6f8ac5,0125cd13-76a6-485f-b100-ede08390c27b,Lidocaine,Lidocaine,Antiarrhythmic agent,"Dizziness, numbness",Emergency
e48a122f-2bc6-4172-9994-60452a9717a1,51d0e643-2aec-4b42-87bd-05c736072d86,Heparin,Unfractionated Heparin,Prevent blood clot growth,"Bleeding, bruising",Emergency
8e88067d-1091-4100-b1ba-7fdeeb79d2e8,51d0e643-2aec-4b42-87bd-05c736072d86,Warfarin,Warfarin sodium,Prevent further clots,"Bleeding, nausea",Emergency
3517bcff-909b-415f-ac87-ba1f631f3596,51d0e643-2aec-4b42-87bd-05c736072d86,Rivaroxaban,Rivaroxaban,Oral anticoagulant,"Bleeding, anemia",Emergency
f8aaddda-78eb-4107-bd1e-b6b63f8c614d,7f2d7684-da59-4e94-a67c-13a104ef0383,Beta-blockers,Metoprolol,Reduce blood pressure and aortic stress,"Fatigue, dizziness",Cardiology
51b7be2f-7270-4383-a79c-03a4da813414,7f2d7684-da59-4e94-a67c-13a104ef0383,ACE inhibitors,Lisinopril,Lower blood pressure,"Cough, low blood pressure",Cardiology
d9a0ee47-b84f-4cb8-847b-4a696534f3e7,7f2d7684-da59-4e94-a67c-13a104ef0383,Losartan,Losartan,Prevent aneurysm growth,"Dizziness, headache",Cardiology
346994b0-42d0-495e-9601-076ec5a2aeb8,51416442-76ee-40b9-a6e8-f527ed47962b,Beta-blockers,Atenolol,Reduce heart workload,"Fatigue, dizziness",Cardiology
85613e67-fd33-40c3-9343-abd5bc83ea09,51416442-76ee-40b9-a6e8-f527ed47962b,Diuretics,Furosemide,Reduce fluid overload,"Electrolyte imbalance, dehydration",Cardiology
dff1b489-9ad1-4622-bfc5-0e75ed0032b4,51416442-76ee-40b9-a6e8-f527ed47962b,Statins,Atorvastatin,Lower cholesterol,"Muscle pain, liver issues",Cardiology
7f340c07-7b52-44d1-8baf-3ed4ee16a8b9,80c09e80-a938-48bd-a3ba-51d39d248e50,Beta-blockers,Propranolol,Control palpitations and chest pain,"Fatigue, dizziness",Cardiology
7f4eead2-6a88-4715-a232-9ee1734b3871,80c09e80-a938-48bd-a3ba-51d39d248e50,Aspirin,Acetylsalicylic Acid,Prevent clot formation,"Stomach upset, bleeding",Cardiology
f4e3ba47-5e34-4e81-a312-6f4447dc91a9,80c09e80-a938-48bd-a3ba-51d39d248e50,Diuretics,Furosemide,Reduce fluid retention,"Electrolyte imbalance, dehydration",Cardiology
15192a5f-4e67-4034-8b16-d6501e582dde,bdd02965-411a-42af-8912-e16c6b91c34c,Epinephrine,Epinephrine,Immediate treatment for severe allergic reaction,"Rapid heart rate, anxiety",Emergency
a41e3028-dbaa-43b4-91f2-0a2bc897efd4,bdd02965-411a-42af-8912-e16c6b91c34c,Diphenhydramine,Diphenhydramine hydrochloride,Reduce allergic symptoms,"Drowsiness, dry mouth",Emergency
1f2e5121-b063-4252-a07c-85aaadd4f1cd,bdd02965-411a-42af-8912-e16c6b91c34c,Hydrocortisone,Hydrocortisone,Reduce inflammation,"High blood sugar, fluid retention",Emergency
c0ef31f9-4980-43ef-9158-de8c70fa9152,df09cd11-ad4f-453f-ac0a-3326b7431276,Morphine,Morphine sulfate,Pain management,"Drowsiness, nausea",Emergency
adcf774c-9ef4-4db1-b42b-6703ba5d9fd1,df09cd11-ad4f-453f-ac0a-3326b7431276,Acetaminophen,Paracetamol,Mild to moderate pain relief,Liver toxicity in high doses,Emergency
690a6212-d9a3-4c6a-8475-bdb2bb29427c,df09cd11-ad4f-453f-ac0a-3326b7431276,Ibuprofen,Ibuprofen,Reduce pain and inflammation,"Stomach upset, bleeding",Emergency
b2288713-a97e-4edc-b552-6812891c7e83,e7f93852-ceb9-49e4-abeb-690a7422430e,Broad-spectrum antibiotics,Meropenem,Treat bacterial infection,"Diarrhea, nausea",Emergency
764eae95-1a48-4000-832a-82e00b5bbe16,e7f93852-ceb9-49e4-abeb-690a7422430e,Norepinephrine,Norepinephrine,Maintain blood pressure,"Arrhythmias, high blood pressure",Emergency
4bbc8b04-4909-4ba6-8aa4-b23ee634ab5f,e7f93852-ceb9-49e4-abeb-690a7422430e,Hydrocortisone,Hydrocortisone,Reduce inflammation,"High blood sugar, fluid retention",Emergency
aa4b49c3-5aa0-4353-a91e-246313e24c7a,546f774f-7f26-4f80-acb6-c42eb209cba3,Albuterol,Albuterol sulfate,Relieve bronchospasm,"Tremor, palpitations",Pediatrics
f1ce435f-26a1-417e-a44d-f52881e88cd1,546f774f-7f26-4f80-acb6-c42eb209cba3,Prednisone,Prednisone,Reduce airway inflammation,"Weight gain, mood changes",Pediatrics
065a5df4-32ba-4889-a600-e34aa05c72ad,546f774f-7f26-4f80-acb6-c42eb209cba3,Ipratropium,Ipratropium bromide,Bronchodilator,"Dry mouth, cough",Pediatrics
fd496d7d-36a4-44af-8a27-02bd67f14b95,e4a78bbc-28cd-4bce-9f3a-49e2811208dd,Alteplase,Recombinant tissue plasminogen activator,Dissolve blood clots,"Bleeding, hypotension",Neurology
868998fa-7086-46dd-8aea-6dc584a4c8f3,e4a78bbc-28cd-4bce-9f3a-49e2811208dd,Aspirin,Acetylsalicylic Acid,Prevent further clot formation,"Stomach upset, bleeding",Neurology
2423d34d-1441-42cd-b43e-4c9145273562,e4a78bbc-28cd-4bce-9f3a-49e2811208dd,Clopidogrel,Clopidogrel bisulfate,Prevent clot formation,"Bruising, bleeding",Neurology
3e75c02b-6451-4d2e-9a83-67c1c5fea5b4,30c178c9-5714-4a78-963f-92041e5c054c,Glucose,Dextrose,Increase blood sugar rapidly,Hyperglycemia if overdosed,Internal Medicine
1732a78b-1dae-457a-bba4-df140820fe38,30c178c9-5714-4a78-963f-92041e5c054c,Glucagon,Glucagon,Emergency treatment for severe hypoglycemia,"Nausea, vomiting",Internal Medicine
50bd4d92-aa02-4e8d-9fb9-cd313dcc52fd,30c178c9-5714-4a78-963f-92041e5c054c,Oral sugar solution,Sucrose solution,Mild hypoglycemia treatment,Tooth decay if frequent,Internal Medicine
b182a44d-eb75-491d-8450-4bbb63faaf32,138d94c5-b830-4386-b078-451b6f918cbf,Insulin,Regular Insulin,Lower high blood sugar,"Hypoglycemia, low potassium",Internal Medicine
cac15bc1-69a1-4ffd-8aaf-bbd4bc449d4b,138d94c5-b830-4386-b078-451b6f918cbf,IV fluids,Normal saline,Rehydrate patient,Fluid overload,Internal Medicine
3b4c6454-bcf8-4bdd-9e41-7e75d74e4174,138d94c5-b830-4386-b078-451b6f918cbf,Potassium chloride,Potassium chloride,Correct electrolyte imbalance,Hyperkalemia if overdosed,Internal Medicine
89ec725b-b2d4-4f30-bd18-6b19aad1d345,6837bc48-02b8-4abb-84cf-fc45e4e8561d,IV fluids,Normal saline,Rehydrate patient,Fluid overload,Emergency
97ffb5a6-6832-40bd-8b4a-faed15b2963d,6837bc48-02b8-4abb-84cf-fc45e4e8561d,Cooling therapy,Ice packs / Cooling blankets,Reduce body temperature,"Shivering, discomfort",Emergency
d45ccf92-c435-4027-bc94-134a0ecbd4e9,6837bc48-02b8-4abb-84cf-fc45e4e8561d,Electrolyte replacement,Sodium/potassium solutions,Correct dehydration,Electrolyte imbalance if overdosed,Emergency
619da02a-3051-42b8-8b48-37e5c5e325cc,ab771359-b54e-4e6f-b992-bdf7beb6cdb9,IV fluids,Normal saline,Hydration,Fluid overload,Emergency
82cfc68e-73e8-425c-a332-9848b05024dd,ab771359-b54e-4e6f-b992-bdf7beb6cdb9,Thiamine,Vitamin B1,Prevent Wernickeâ€™s encephalopathy,Allergic reaction rare,Emergency
f08dda97-b7f8-499e-bb31-e5774050ff2a,ab771359-b54e-4e6f-b992-bdf7beb6cdb9,Activated charcoal,Activated charcoal,Reduce alcohol absorption,"Nausea, vomiting",Emergency
86c3cc43-8024-431e-9bac-dcc1eea8701a,78f9020e-0501-4871-8a7b-58b41fb7e783,Activated charcoal,Activated charcoal,Prevent absorption of ingested toxins,"Nausea, vomiting",Emergency
8018433f-1f5c-4d04-8f5b-7fdb5f5f9e96,78f9020e-0501-4871-8a7b-58b41fb7e783,Naloxone,Naloxone hydrochloride,Reverse opioid overdose,"Withdrawal symptoms, nausea",Emergency
04b51ce8-59e9-4a6e-b3ae-b71c62513568,78f9020e-0501-4871-8a7b-58b41fb7e783,Supportive care,"IV fluids, oxygen",Stabilize vital signs,Fluid overload if excessive,Emergency
4eb6bb84-6acb-48af-948c-ba321d5f7d53,a2609488-64f1-4c4e-827b-af63ea0552db,Activated charcoal,Activated charcoal,Absorb toxin,"Nausea, vomiting",Emergency
f0728fb0-1a42-49dc-88a0-c4c1e8cd98fc,a2609488-64f1-4c4e-827b-af63ea0552db,N-acetylcysteine,N-acetylcysteine,Antidote for acetaminophen overdose,"Rash, nausea",Emergency
c240752c-34b6-4709-8a68-e7660f7f4ac9,a2609488-64f1-4c4e-827b-af63ea0552db,Supportive care,"IV fluids, oxygen",Stabilize patient,Fluid overload if excessive,Emergency
e5cefb16-231c-42e0-b72b-d5a6f1ae2916,a6b47ac0-1e3b-4c1d-a77e-63f5b6f28332,Ceftriaxone,Ceftriaxone,Pre-surgery antibiotic,"Diarrhea, rash",Emergency
e9179438-5146-429f-ad84-6e4d7620055c,a6b47ac0-1e3b-4c1d-a77e-63f5b6f28332,Metronidazole,Metronidazole,Treat anaerobic bacteria,"Nausea, metallic taste",Emergency
64339099-7ef4-44fd-99a1-6b132dd56069,a6b47ac0-1e3b-4c1d-a77e-63f5b6f28332,Pain relievers,Acetaminophen,Reduce pain,Liver toxicity if overdosed,Emergency
31b720c8-ca76-4c0b-b295-c402bab97d67,43580d28-0dfa-44e0-8a8d-2804ed442173,Metformin,Metformin hydrochloride,Lower blood sugar,"GI upset, lactic acidosis rare",Internal Medicine
ec9e221d-246b-48a7-9b51-4659753a1a4a,43580d28-0dfa-44e0-8a8d-2804ed442173,Glimepiride,Glimepiride,Stimulate insulin secretion,"Hypoglycemia, weight gain",Internal Medicine
c94a1292-7a13-45d3-b67b-411e9aa17477,43580d28-0dfa-44e0-8a8d-2804ed442173,Sitagliptin,Sitagliptin phosphate,Increase insulin release,"Pancreatitis, headache",Internal Medicine
b19493af-19f2-4705-bf2a-ffe3d63cc0de,3c58c2e9-3812-45ee-820a-4d6a3459e5bf,Amoxicillin,Amoxicillin,Treat bacterial pneumonia,"Diarrhea, rash",Internal Medicine
a54e4360-9c6d-44b8-9865-5066d4b32fa1,3c58c2e9-3812-45ee-820a-4d6a3459e5bf,Azithromycin,Azithromycin,Treat atypical pneumonia,"GI upset, liver issues",Internal Medicine
9167cb82-df2c-4b76-83db-ae4c329e63b5,3c58c2e9-3812-45ee-820a-4d6a3459e5bf,Cefuroxime,Cefuroxime,Broad-spectrum antibiotic,"Diarrhea, allergic reaction",Internal Medicine
6c74c337-c5c2-4eb5-8ad7-ea4e72bb0bf0,9ee803eb-ff98-42c6-b19d-0770d89a3b15,Ferrous sulfate,Ferrous sulfate,Iron supplementation,"Constipation, nausea",Internal Medicine
b6fbcdd8-354f-4fc1-be34-88eec0653313,9ee803eb-ff98-42c6-b19d-0770d89a3b15,Vitamin B12,Cyanocobalamin,Treat B12 deficiency,"Injection site reaction, headache",Internal Medicine
5c3edb26-bc4f-4f1a-8594-85bf5482b5a1,9ee803eb-ff98-42c6-b19d-0770d89a3b15,Folic acid,Folic acid,Treat folate deficiency,Rare allergic reactions,Internal Medicine
7847277c-858d-4c72-815b-5463c0d6c1ad,5a6811f9-eec9-4e20-858a-7143e94fa128,Albuterol,Albuterol sulfate,Relieve bronchospasm,"Tremor, palpitations",Internal Medicine
